"data_id","imbalanced_ratio","balancing_method","resampling_ratio","rashomon_set_size","obscurity","discrepancy"
2,9.68286445012788,"Original",1.2,38,0.0349619568634849,1
2,1.20804084237396,"Oversampling",1.2,15,0.070661853188929,0.152346570397112
2,1.21739130434783,"Undersampling",1.2,30,0.0428571428571429,0.114285714285714
2,1.0997442455243,"Near miss",1.2,19,0.0976076555023923,0.575757575757576
2,1.10026155187446,"SMOTE",1.2,15,0.140848317196865,0.795297372060857
2,9.68286445012788,"Original",1.25,38,0.0349619568634849,1
2,1.25613802256138,"Oversampling",1.25,15,0.124075434729365,0.17634092578986
2,1.27109974424552,"Undersampling",1.25,29,0.142580395195661,0.859550561797753
2,1.24808184143223,"Near miss",1.25,43,0.142441860465116,0.806818181818182
2,1.25033025099075,"SMOTE",1.25,18,0.105246008471815,0.159090909090909
3,6.07213578500707,"Original",1,39,0.069545838776608,0.846153846153846
3,1.0125,"Oversampling",1,22,0.101587047984236,0.348564733450498
3,1.02020202020202,"Undersampling",1,20,0.173214285714286,0.692857142857143
3,1,"Near miss",1,31,0.123674911660777,0.537102473498233
3,1,"SMOTE",1,33,0.138250961301019,0.5034924330617
3,6.07213578500707,"Original",1.05,39,0.069545838776608,0.846153846153846
3,1.06341342581125,"Oversampling",1.05,21,0.0889212827988337,0.6968787515006
3,1.06506364922207,"Undersampling",1.05,40,0.111643835616438,0.777397260273973
3,1.04950495049505,"Near miss",1.05,33,0.151202749140893,0.718213058419244
3,1.05014677103718,"SMOTE",1.05,35,0.102206320810972,0.520572450805009
3,6.07213578500707,"Original",1.1,39,0.069545838776608,0.846153846153846
3,1.11275272161742,"Oversampling",1.1,19,0.184839781858079,0.66584917228694
3,1.1046676096181,"Undersampling",1.1,37,0.104843098131689,0.708053691275168
3,1.0990099009901,"Near miss",1.1,34,0.196809571286142,0.661016949152542
3,1.10020502306509,"SMOTE",1.1,21,0.134804349090063,0.666056166056166
3,6.07213578500707,"Original",1.15,39,0.069545838776608,0.846153846153846
3,1.16121179334596,"Oversampling",1.15,18,0.148947258703356,0.682301438398999
3,1.15983026874116,"Undersampling",1.15,33,0.131313131313131,0.73202614379085
3,1.0990099009901,"Near miss",1.15,34,0.196809571286142,0.661016949152542
3,1.10020502306509,"SMOTE",1.15,21,0.134804349090063,0.666056166056166
3,6.07213578500707,"Original",1.2,39,0.069545838776608,0.846153846153846
3,1.21031857908091,"Oversampling",1.2,22,0.130250883596964,0.708094327597196
3,1.20933521923621,"Undersampling",1.2,21,0.165373497641868,0.747603833865815
3,1.0990099009901,"Near miss",1.2,34,0.196809571286142,0.661016949152542
3,1.10020502306509,"SMOTE",1.2,21,0.134804349090063,0.666056166056166
3,6.07213578500707,"Original",1.25,39,0.069545838776608,0.846153846153846
3,1.26005283240387,"Oversampling",1.25,21,0.10460729746444,0.288311688311688
3,1.27722772277228,"Undersampling",1.25,35,0.110747456877488,0.712074303405573
