"data_id","balancing_method","imbalanced_ratio","resampling_ratio","rashomon_set_size","auc","f1","bacc","obscurity","discrepancy"
10,"SMOTE",1,1,25,0.985936705643112,0.951526032315978,NA,0.140848317196865,0.795297372060857
11,"Original",7.19101123595506,1,22,0.934933035714286,NA,NA,0.0349619568634849,1
11,"Oversampling",1.00946372239748,1,25,0.997039554625984,0.97131931166348,NA,0.070661853188929,0.152346570397112
11,"Undersampling",1.04093567251462,1,22,0.940816326530612,0.894736842105263,NA,0.0428571428571429,0.114285714285714
11,"Near miss",1,1,30,0.891203703703704,0.867469879518072,NA,0.0976076555023923,0.575757575757576
11,"SMOTE",1,1,38,0.993865966796875,0.97131931166348,NA,0.140848317196865,0.795297372060857
12,"Original",2.40731399747793,1,24,0.956678685501664,NA,0.5,0.0349619568634849,1
12,"Oversampling",1.01112288135593,1,19,0.986183827806863,0.94011590470058,0.5,0.124075434729365,0.17634092578986
12,"Undersampling",1.01019108280255,1,18,0.93937993530109,0.867692307692308,0.5,0.142580395195661,0.859550561797753
12,"Near miss",1,1,14,0.941626122384398,0.878648233486943,0.5,0.142441860465116,0.806818181818182
12,"SMOTE",1,1,22,0.97085983114498,0.914948453608247,0.5,0.105246008471815,0.159090909090909
13,"Original",1.96348314606742,1,38,0.946020408163265,NA,0.5,0.069545838776608,0.846153846153846
