data_id,balancing_method,similarity_value,resampling_ratio
2,Undersampling,-0.01201201201201201,1.05
2,Near miss,-0.12612612612612611,1.05
2,SMOTE,-0.14114114114114115,1.05
3,Original,-0.17717717717717718,1.05
3,Oversampling,-0.13213213213213212,1.05
3,Undersampling,-0.2012012012012012,1.05
3,Near miss,-0.11411411411411412,1.05
3,SMOTE,-0.2012012012012012,1.05
4,Original,-0.19999999999999996,1.05
4,Oversampling,-0.19999999999999996,1.05
4,Undersampling,-0.7999999999999998,1.05
4,Near miss,-0.3999999999999999,1.05
4,SMOTE,-0.5999999999999999,1.05
5,Original,-0.2,1.05
5,Oversampling,-0.2195121951219512,1.05
5,Undersampling,-0.2121951219512195,1.05
5,Near miss,-0.14634146341463414,1.05
5,SMOTE,-0.20243902439024392,1.05
6,Original,-0.15664160401002503,1.05
6,Oversampling,-0.17919799498746863,1.05
6,Undersampling,-0.14786967418546365,1.05
6,Near miss,-0.11403508771929824,1.05
6,SMOTE,-0.18295739348370924,1.05
7,Original,-0.14200256373735937,1.05
7,Oversampling,-0.09186725537672698,1.05
7,Undersampling,-0.096994730095428,1.05
7,Near miss,-0.09072781655034896,1.05
7,SMOTE,-0.06395100413046576,1.05
8,Original,-0.11363636363636362,1.05
8,Oversampling,-0.15909090909090906,1.05
8,Undersampling,-0.05303030303030302,1.05
8,Near miss,-0.2348484848484848,1.05
8,SMOTE,-0.15530303030303028,1.05
9,Original,-0.15595959595959596,1.05
9,Oversampling,-0.09777777777777778,1.05
9,Undersampling,-0.15353535353535352,1.05
9,Near miss,-0.02383838383838384,1.05
9,SMOTE,-0.138989898989899,1.05
10,Original,-0.3999999999999999,1.05
10,Oversampling,-0.3999999999999999,1.05
10,Undersampling,-0.7999999999999998,1.05
10,Near miss,-0.19999999999999996,1.05
10,SMOTE,-0.19999999999999996,1.05
11,Original,-0.3090909090909091,1.05
11,Oversampling,-0.23636363636363636,1.05
11,Undersampling,-0.41818181818181815,1.05
11,Near miss,-0.38181818181818183,1.05
11,SMOTE,-0.3090909090909091,1.05
12,Original,-0.6428571428571429,1.05
